Site,Switch Name,IP
,DLC-Eindhoven-Lynxight,10.2.1.252
,,
Emersons Green,DLC-EmersonsGreen,10.32.230.253
,DLC-Emersons-2,10.32.230.252
,,
Epsom,DLC-Epsom,10.32.56.251
,DLC-Epsom-Lynxight,10.32.56.250
,,
Exeter,DLC-Exeter-MainComms-2,10.32.67.252
,DLL-Exeter,10.32.67.251
,DLC-Exeter-Gym,10.32.67.250
,DLC-Exeter-Spa,10.32.67.249
,DLC-Exeter-MandB,10.32.67.248
,,
Farnham,DLL-Farnham-Club,10.32.201.253
,DLC-Farnham-Subrack,10.32.201.252
,DLC-Farnham-MainComms-2,10.32.201.251
,DLC-Farnham-Lynxight,10.32.201.250
,DLC-Farnham-Lynxight-2,10.32.201.249
,,
Finchley,DLL-Finchley,10.32.2.253
,DLC-Finchley-MainComms-2,10.32.2.249
,DLC-Finchley-Gym,10.32.2.251
,DLC-Finchley-Spa,10.32.2.252
,,
Fulham,DLC-Fulham,10.32.58.253
,DLC-Fulham-Spa,10.32.58.252
,DLC-Fulham-Lynxight,10.32.58.251
,,
Geneva City Green,DLC-Geneva-Bottom,10.32.228.253
,DLC-Geneva-Top,10.32.228.249
,DLC-Geneva-CityGreen-Lynxight,10.32.228.252
,,
Gidea Park,DLL-GideaPark-MainComms,10.32.84.253
,DLC-GideaPark-MainComms-2,10.36.84.252
,DLC-GideaPark-Lynxight,10.32.84.251
,,
Glasgow West End,DLC-Glasgow-WE-Main-1,192.168.3.253
,DLC-Glasgow-WE-Membership,10.32.75.252
,DLC-Glasgow-WE-Sales,192.168.3.251
,DLC-Glasgow-WE-Main-2,192.168.3.250
,DLC-GlasgowWE-Spa,192.168.3.248
,,
Glasgow Rouken Glen,Rouken-48P,10.32.207.253
,DLL-RoukenGlen-NEW,10.32.207.250
,DLL-Rouken-Golf,10.32.207.251
,DLL-Rouken,10.32.207.252
,DLC-RoukenGlen-Lynxight,10.32.207.249
,,
Glasgow Renfrew,DLL-Renfrew,10.32.5.253
,DLC-Renfrew-Lynxight,10.32.5.252
,,
Gloucestershire,DLC-Gloucester-Main-Commms-1,10.32.212.253
,DLC-Gloucestershire-Main-2,10.32.212.251
,DLC-Gloucestershire-AV,10.32.212.250
,DLC-Gloucestershire-Spa,10.32.212.249
,DLC-Gloucester-Lynxight,10.32.212.248
,,
Hamilton,DL-Hamilton,10.32.213.253
,DLC-Hamilton-Lnyxight,172.20.213.251
,DLC-Hamilton-MainComms,10.32.213.250
,,
Hampton,DLC-Hampton-1,10.161.1.253
,DLC-Hampton-2,10.161.1.251
,DLC-Hampton-X440-48p-SubRack,10.161.1.250
,DLC-Hampton-Boardroom,10.161.1.249
,DLC-Hampton-2,10.161.1.252
,,
Harrogate,DLL-Harrogate,10.32.226.253
,DLC-Harrogate-Subrack-2,10.32.226.251
,NewComms,10.32.226.252
,DLC-Harrogate-Lnyxight,10.32.226.250
,,
Heston,DLL-Heston-MainComms,10.32.12.253
,DLL-Heston-Gym,10.32.12.252
,DLL-Heston-Campus,10.32.12.251
,DLL-Heston-Membership,10.32.12.249
